titre,date,presentateurs,chaines,description,slug,catégiorie,exclu play,,,,,,,,,,,,,,
Exemple émission,2 septembre,"Ophélie,Eddy,Arnaud","tvi,play,contact,plug",Blablablabla,exemple-emission,exemple,v,,,,,,,,,,,,,,
Dans votre canap,,Sophie Pendeville,"tvi,plug",,canap,nouvelle-emissions,,,,,,,,,,,,,,,
Bertand Caroy en Patrouille,,Bertrand Caroy,"tvi,play","Bertrand Caroy quitte son Hainaut natal pour s’immerger quelques jours au sein des forces de police aux quatre coins du monde. En patrouillant aux côtés de ses nouveaux collègues, il partage leur quotidien, participe à des interventions, fait des interpellations et vit des missions improbables. De nouvelles amitiés et des apprentissages uniques l'attendent à chaque destination. Ces voyages hors du commun emmènent le premier inspecteur borain au cœur des forces de police du Canada, de l'Espagne ou encore de Dubaï, avec un nouvel uniforme à chaque étape ! ",bartrandpatrouille,nouvelle-emissions,,,,,,,,,,,,,,,
Le Phone,,Vincenzo Ciuro,"tvi,play","Dans une ville, deux inconnus répondent à un appel qui va bouleverser leur quotidien. Vincenzo Ciuro, à l'autre bout du fil, leur lance un défi audacieux : tout abandonner immédiatement pour une aventure qui pourrait leur rapporter jusqu'à 25.000 euros. Jusqu'où seront-ils prêts à aller pour saisir cette opportunité ? Confrontés à leurs dilemmes, peurs et ambitions, ces deux participants verront leurs chemins, jusque-là distincts, se croiser de manière surprenante, les entraînant dans une aventure pleine de suspense, de défis et d’émotions. Leur audace, curiosité et détermination seront-elles récompensées ? Décrocher ce téléphone pourrait bien changer leur vie !  ",phone,nouvelle-emissions,,,,,,,,,,,,,,,
La Guerre des Voisins,,Benjamin Maréchal,"tvi,play","Un Belge sur trois a déjà eu des problèmes avec ses voisins, mais certains conflits dégénèrent en véritables guerres. ""La Guerre des Voisins"" s'intéresse à ces querelles qui empoisonnent la vie quotidienne. Tapages nocturnes, nuisances sonores ou olfactives, disputes de mitoyenneté, insultes, menaces, voire violences : les conflits de voisinage ont augmenté de 64 % en cinq ans. Benjamin Maréchal et son équipe interviennent pour tenter de rétablir la paix. ",voisins,nouvelle-emissions,,,,,,,,,,,,,,,
Golden Bachelor,,Stéphane Rotenberg,"tvi,play","À l’heure où les seniors se montrent sans artifices et assument leur âge, cette émission leur propose de retrouver l’amour pour prouver qu’après 60 ans, la séduction existe bel et bien. Une ode à l’amour et un pied de nez aux diktats ! Vous allez rencontrer un Bachelor mature, sage, qui s’est bonifié avec le temps ! Il a la soixantaine et cherche l’amour avec une femme de son âge. Dans l’émission, vous allez aussi découvrir des femmes accomplies, indépendantes qui savent ce qu’elles veulent. Le maitre-mot : il n’est jamais trop tard pour (re)trouver l’amour ! ",bachelor,nouvelle-emissions,,,,,,,,,,,,,,,
"Pékin Express, L'épopée des maharajas",,Stéphane Rotenberg,,"La course d’aventure emblématique est de retour pour une saison exceptionnelle avec 7 binômes stars du programme. C’est au cœur de l’Inde et de la région du Rajasthan que les candidats découvriront les surprises que leur réserve ce pays. C’est au pied du célèbre Taj Mahal, l’une des sept merveilles du monde moderne, que débutera cette course effrénée. ",pekin,evenementielles,,,,,,,,,,,,,,,
Zorro,,Jean Dujardin,"tvi,play","En 1821, Don Diego de la Vega devient maire de sa bien-aimée ville de Los Angeles qu’il compte bien faire prospérer. Cependant, la municipalité est confrontée à des problèmes financiers du fait de l'avidité d'un homme d'affaires local, Don Emmanuel, face auquel les pouvoirs du maire s’avèrent insuffisants pour combattre l’injustice. Diego n'a pas fait appel à son double Zorro depuis 20 ans. Mais au nom de l’intérêt général, il n'a plus d'autre choix que de ressortir son masque et son épée. Très vite, Diego va rencontrer des difficultés à concilier sa double identité de Zorro et de maire, ce qui met à rude épreuve son mariage avec Gabriella, qui ignore son secret. Diego pourra-t-il sauver son mariage et sa santé mentale au milieu du chaos ? 

Une série créée par Benjamin Charbit et Noé Debré, composée de 8 épisodes de 40 minutes et réalisée par Jean-Baptiste Saurel et Emilie Noblet. 

Une coproduction Paramount +/France Télévisions/RTL Belgium. ",zorro,les-series,,,,,,,,,,,,,,,
Cat's Eyes,,"Camille Lou,Constance Labbé,Claire Romain","tvi,play","Vous les attendiez, elles sont là ! En 2023, dans la ville Lumière, Tam (Camille Lou), Sylia (Constance Labbé) et Alexia (Claire Romain) se retrouvent après des années de séparation. Au même moment, une œuvre ayant appartenu à leur père disparu dix ans plus tôt dans le mystérieux incendie de sa galerie d’art resurgit lors d’une prestigieuse exposition à la Tour Eiffel. Elles décident alors de prendre tous les risques pour la dérober dans l’espoir de comprendre enfin ce qui lui est arrivé. ",cats,les-series,,,,,,,,,,,,,,,
Monsieur Parizot,Le 8 septembre à 20h40,,"tvi,play",,parizot,les-series,,,,,,,,,,,,,,,
Camping Paradis,,,"tvi,play",,camping,les-series,,,,,,,,,,,,,,,
Panda - Saison 2,,Julien Doré,"tvi,play",,panda,les-series,,,,,,,,,,,,,,,
Le Nounou,,Booder,"tvi,play",,nounou,les-series,,,,,,,,,,,,,,,
Plus belle la vie : encore plus belle,,,"tvi,play",,pblv,les-series,,,,,,,,,,,,,,,
Frères Rivaux,Le 2 septembre,,play,"Après Fatmagül et Innocence, une nouvelle télénovela turque débarque sur RTL play. 

Frères rivaux raconte l'histoire intense de deux frères, Kamal et Karim, engagés dans une lutte sans merci, unis par un terrible secret qui les sépare inexorablement. Leur seul lien : la grandeur de leurs ambitions et leur amour pour... la même femme. ",freres,les-series,v,,,,,,,,,,,,,,
Blacksails,Le 4 septembre,,play,"Découvrez les aventures du capitaine Flint vingt ans avant les événements du roman L'île au trésor de Robert Louis Stevenson. Au XVIIIe siècle, en plein âge d'or de la piraterie, le capitaine Flint domine les Caraïbes. Mais tandis que les pirates transforment l'ancienne colonie britannique de New Providence en un repaire de débauche, la flotte royale se prépare à reprendre le contrôle du territoire... 

Série disponible en intégralité ",blacksails,les-series,v,,,,,,,,,,,,,,
Harper Island,Le 16 septembre,,play,"À l'occasion d'un mariage, famille et amis se rassemblent sur une île au large de Seattle, tristement célèbre pour un massacre survenu sept ans plus tôt. Alors que les festivités commencent, nul ne se doute encore de l'horreur qui les guette. Les amitiés sont mises à l'épreuve et les secrets refont surface lorsque des corps commencent à s'accumuler. Ce qui devait être un week-end festif se transforme en une lutte désespérée pour survivre... 

Série disponible en intégralité ",harper,les-series,v,,,,,,,,,,,,,,
Night Shift,Le 25 septembre,,play,"Night Shift suit les aventures d'une équipe de médecins travaillant aux urgences de nuit dans un hôpital de San Antonio, au Texas. Composée en grande partie de vétérans de guerre, cette équipe est habituée aux situations les plus extrêmes. Parmi eux, on retrouve Eoin Macken (Les Tudors), Jill Flint (The Good Wife), et Brendan Fehr (Bones). 

Série disponible en intégralité ",nightshift,les-series,v,,,,,,,,,,,,,,
"Astérix & Obélix, l'Empire du Milieu",,,"tvi,play",,asterix,les-films,,,,,,,,,,,,,,,
Ticket to paradise,,,"tvi,play",,ticket,les-films,,,,,,,,,,,,,,,
"X-Men, dark Phoenix",,,"tvi,play",,darkphoenix,les-films,,,,,,,,,,,,,,,
I wanna Dance,,,"tvi,play",,dance,les-films,,,,,,,,,,,,,,,
Novembre,,,"tvi,play",,novembre,les-films,,,,,,,,,,,,,,,
Babylon,Le 12 septembre à 20h30,,"tvi,play",,babylon,les-films,,,,,,,,,,,,,,,
Ténor,,,"tvi,play",,tenor,les-films,,,,,,,,,,,,,,,
Donjons & Dragons,,,"tvi,play",,donjons,les-films,,,,,,,,,,,,,,,
Le Samaritain,,Sylvester Stallone,"tvi,play",,samaritain,les-films,,,,,,,,,,,,,,,
Un crime parfait ?,,Julie Denayer,"tvi,play","Meurtres irrésolus, grand banditisme, faux coupables, crimes passionnels, disparitions… Julie Denayer revient sur plus grandes enquêtes judiciaires de ces dernières années. Découvrez les histoires criminelles les plus marquantes sous un angle nouveau avec un décryptage inédit, des témoignages exclusifs et de nouveaux éléments.",crime-parfait,crime,,,,,,,,,,,,,,,
Intimes Convictions,,"Julie Denayer,Denis Goeman ","tvi,play","""Intime Conviction"" vous transporte au cœur des affaires belges et françaises les plus marquantes. Chaque épisode dévoile un nouvel éclairage grâce aux témoignages exclusifs des principaux protagonistes et de leurs proches, révélant des détails et des perspectives rarement explorés. 

Avec l'expertise du juge Denis Goeman, vous êtes guidés à travers les moments clés et les défis de ces enquêtes judiciaires. De la collecte des témoignages aux stratégies d’enquête, en passant par les éléments cruciaux qui ont influencé le verdict final, ""Intime Conviction"" vous révèle les rouages cachés de la justice. 

Sujet de la première affaire : “Alexia, Autopsie d’un féminicide” 

Parce que la mort d’Alexia Daval a bouleversé tout un pays, parce qu’elle a été l’affaire la plus médiatisée depuis l’affaire Grégory, parce qu’elle est ancrée dans une région et incarnée par une famille digne, forte, qui a tenu face à l’horreur et suscité l’admiration de tous, parce que le profil du meurtrier est inédit et que son scénario est machiavélique, parce que l’histoire d’Alexia est celle d’une femme battue à mort, elle n’est pas un simple fait divers. Elle est une histoire française. Une histoire universelle. ",intimes,crime,,,,,,,,,,,,,,,
